"code","uri","label","definition","name_en","name_fr","name_es"
"11","","Carps, barbels and other cyprinids","","Carps, barbels and other cyprinids","Carpes, barbeaux et autres cyprinidés","Carpas, barbos y otros ciprínidos"
"12","","Tilapias and other cichlids","","Tilapias and other cichlids","Tilapias et autres cichlidés","Tilapias y otros cíclidos"
"13","","Miscellaneous freshwater fishes","","Miscellaneous freshwater fishes","Poissons d'eau douce divers","Peces de agua dulce diversos"
"21","","Sturgeons, paddlefishes","","Sturgeons, paddlefishes","Esturgeons, spatules","Esturiones, sollos"
"22","","River eels","","River eels","Anguilles","Anguilas"
"23","","Salmons, trouts, smelts","","Salmons, trouts, smelts","Saumons, truites, éperlans","Salmones, truchas, eperlanos"
"24","","Shads","","Shads","Aloses","Sábalos"
"25","","Miscellaneous diadromous fishes","","Miscellaneous diadromous fishes","Poissons diadromes divers","Peces diádromos diversos"
"31","","Flounders, halibuts, soles","","Flounders, halibuts, soles","Flets, flétans, soles","Platijas, halibuts, lenguados"
"32","","Cods, hakes, haddocks","","Cods, hakes, haddocks","Morues, merlus, églefins","Bacalaos, merluzas, eglefinos"
"33","","Miscellaneous coastal fishes","","Miscellaneous coastal fishes","Poissons côtiers divers","Peces costeros diversos"
"34","","Miscellaneous demersal fishes","","Miscellaneous demersal fishes","Poissons démersaux divers","Peces demersales diversos"
"35","","Herrings, sardines, anchovies","","Herrings, sardines, anchovies","Harengs, sardines, anchois","Arenques, sardinas, anchoas"
"36","","Tunas, bonitos, billfishes","","Tunas, bonitos, billfishes","Thons, pélamides, marlins","Atunes, bonitos, agujas"
"37","","Miscellaneous pelagic fishes","","Miscellaneous pelagic fishes","Poissons pélagiques divers","Peces pelágicos diversos"
"38","","Sharks, rays, chimaeras","","Sharks, rays, chimaeras","Squales, raies, chimères","Tiburones, rayas, quimeras"
"39","","Marine fishes not identified","","Marine fishes not identified","Poissons marins non identifiés","Peces marinos no identificados"
"41","","Freshwater crustaceans","","Freshwater crustaceans","Crustacés d'eau douce","Crustáceos de agua dulce"
"42","","Crabs, sea-spiders","","Crabs, sea-spiders","Crabes, araignées de mer","Cangrejos, centollas"
"43","","Lobsters, spiny-rock lobsters","","Lobsters, spiny-rock lobsters","Homards, langoustes","Bogavantes, langostas"
"44","","King crabs, squat-lobsters","","King crabs, squat-lobsters","Crabes royaux, galatées","Cangrejos reales, galateidos"
"45","","Shrimps, prawns","","Shrimps, prawns","Crevettes","Gambas, camarones"
"46","","Krill, planktonic crustaceans","","Krill, planktonic crustaceans","Krill, crustacés planctoniques","Krill, crustáceos planctónicos"
"47","","Miscellaneous marine crustaceans","","Miscellaneous marine crustaceans","Crustacés marins divers","Crustáceos marinos diversos"
"51","","Freshwater molluscs","","Freshwater molluscs","Mollusques d'eau douce","Moluscos de agua dulce"
"52","","Abalones, winkles, conchs","","Abalones, winkles, conchs","Ormeaux, bigorneaux, strombes","Orejas de mar, bígaros, estrombos"
"53","","Oysters","","Oysters","Huîtres","Ostras"
"54","","Mussels","","Mussels","Moules","Mejillones"
"55","","Scallops, pectens","","Scallops, pectens","Coquilles St-Jacques","Vieiras"
"56","","Clams, cockles, arkshells","","Clams, cockles, arkshells","Clams, coques, arches","Almejas, berberechos, arcas"
"57","","Squids, cuttlefishes, octopuses","","Squids, cuttlefishes, octopuses","Encornets, seiches, poulpes","Calamares, jibias, pulpos"
"58","","Miscellaneous marine molluscs","","Miscellaneous marine molluscs","Mollusques marins divers","Moluscos marinos diversos"
"61","","Blue-whales, fin-whales","","Blue-whales, fin-whales","Baleines bleues, rorquals communs","Ballenas azules, rorcuales"
"62","","Sperm-whales, pilot-whales","","Sperm-whales, pilot-whales","Cachalots, globicéphales","Cachalotes, calderones"
"63","","Eared seals, hair seals, walruses","","Eared seals, hair seals, walruses","Otaries, phoques, morses","Lobos marinos, focas, morsas"
"64","","Miscellaneous aquatic mammals","","Miscellaneous aquatic mammals","Mammifères aquatiques divers","Mamíferos acuáticos diversos"
"71","","Frogs and other amphibians","","Frogs and other amphibians","Grenouilles et autres amphibies","Ranas y otros anfibios"
"72","","Turtles","","Turtles","Tortues","Tortugas"
"73","","Crocodiles and alligators","","Crocodiles and alligators","Crocodiles et alligators","Cocodrilos y aligátores"
"74","","Sea-squirts and other tunicates","","Sea-squirts and other tunicates","Ascidiens et autres tuniciers","Ascidias y otros tunicados"
"75","","Horseshoe crabs and other arachnoids","","Horseshoe crabs and other arachnoids","Limules et autres arachnoïdés","Límulos y otros arácnidos"
"76","","Sea-urchins and other echinoderms","","Sea-urchins and other echinoderms","Oursins et autres échinodermes","Erizos de mar y otros equinodermos"
"77","","Miscellaneous aquatic invertebrates","","Miscellaneous aquatic invertebrates","Invertébrés aquatiques divers","Invertebrados acuáticos diversos"
"81","","Pearls, mother-of-pearl, shells","","Pearls, mother-of-pearl, shells","Perles, nacres, coquilles","Perlas, madreperlas, conchas"
"82","","Corals","","Corals","Coraux","Corales"
"83","","Sponges","","Sponges","Éponges","Esponjas"
"91","","Brown seaweeds","","Brown seaweeds","Algues brunes","Algas pardas"
"92","","Red seaweeds","","Red seaweeds","Algues rouges","Algas rojas"
"93","","Green seaweeds","","Green seaweeds","Algues vertes","Algas verdes"
"94","","Miscellaneous aquatic plants","","Miscellaneous aquatic plants","Plantes aquatiques diverses","Diversas plantas acuáticas"
