"code","uri","label","definition","name_en","name_fr","name_es"
"1","","Freshwater fishes","","Freshwater fishes","Poissons d'eau douce","Peces de agua dulce"
"2","","Diadromous fishes","","Diadromous fishes","Poissons diadromes","Peces diádromos"
"3","","Marine fishes","","Marine fishes","Poissons marins","Peces marinos"
"4","","Crustaceans","","Crustaceans","Crustacés","Crustáceos"
"5","","Molluscs","","Molluscs","Mollusques","Moluscos"
"6","","Whales, seals and other aquatic mammals","","Whales, seals and other aquatic mammals","Baleines, phoques et autres mammifères aquatiques","Ballenas, focas y otros mamíferos acuáticos"
"7","","Miscellaneous aquatic animals","","Miscellaneous aquatic animals","Animaux aquatiques divers","Animales acuáticos diversos"
"8","","Miscellaneous aquatic animal products","","Miscellaneous aquatic animal products","Produits divers d'animaux aquatiques","Diversos productos de animales acuáticos"
"9","","Aquatic plants","","Aquatic plants","Plantes aquatiques","Plantas acuáticas"
