sareaid,sareacod,stock,remarks,id,remarks2,stocks5,fid,remarks_2,stock_bum,stock_whm,stock_sai,stock_spf,stock_swo,stock_oth,code,uri,label,definition
31,AL31,ALB-N,ICCAT CICTA CICAA,,,,,,,,,,,,AL31,,AL31,
32,AL32,ALB-N,ICCAT CICTA CICAA,,,,,,,,,,,,AL32,,AL32,
33,AL33,ALB-S,ICCAT CICTA CICAA,,,,,,,,,,,,AL33,,AL33,
34,AL34,ALB-S,ICCAT CICTA CICAA,,,,,,,,,,,,AL34,,AL34,
35,AL35,ALB-M,ICCAT CICTA CICAA,,,,,,,,,,,,AL35,,AL35,
,BE30,BET-A,,30,ICCAT CICTA CICAA,,,,,,,,,,BE30,,BE30,
,BE40,BET-A,,31,ICCAT CICTA CICAA,,,,,,,,,,BE40,,BE40,
,BE20,BET-A,,20,ICCAT CICTA CICAA,,,,,,,,,,BE20,,BE20,
,BE02,BET-A,,2,ICCAT CICTA CICAA,,,,,,,,,,BE02,,BE02,
,BE03,BET-A,,3,ICCAT CICTA CICAA,,,,,,,,,,BE03,,BE03,
,BE01,BET-A,,1,ICCAT CICTA CICAA,,,,,,,,,,BE01,,BE01,
,BE04,BET-A,,4,ICCAT CICTA CICAA,,,,,,,,,,BE04,,BE04,
,BE08,BET-A,,8,ICCAT CICTA CICAA,,,,,,,,,,BE08,,BE08,
,BE05,BET-A,,5,ICCAT CICTA CICAA,,,,,,,,,,BE05,,BE05,
,BE06,BET-A,,6,ICCAT CICTA CICAA,,,,,,,,,,BE06,,BE06,
,BE10,BET-A,,10,ICCAT CICTA CICAA,,,,,,,,,,BE10,,BE10,
,BE09,BET-A,,9,ICCAT CICTA CICAA,,,,,,,,,,BE09,,BE09,
,BE07,BET-A,,7,ICCAT CICTA CICAA,,,,,,,,,,BE07,,BE07,
,SJ01,SKJ-E,ICCAT CICTA CICAA,,SJ75[ext 35W],SKJ-NE,,,,,,,,,SJ01,,SJ01,
,SJ02,SKJ-E,ICCAT CICTA CICAA,,SJ71 + SJ76[ext 35W],SKJ-CE,,,,,,,,,SJ02,,SJ02,
,SJ03,SKJ-E,ICCAT CICTA CICAA,,SJ72 + SJ77[ext 35W],SKJ-CE,,,,,,,,,SJ03,,SJ03,
,SJ09,SKJ-W,ICCAT CICTA CICAA,,SJ81,SKJ-NW,,,,,,,,,SJ09,,SJ09,
,SJ30,SKJ-W,ICCAT CICTA CICAA,,SJ82 (GOFM),SKJ-NW,,,,,,,,,SJ30,,SJ30,
,SJ40,SKJ-W,ICCAT CICTA CICAA,,SJ83 (CARI),SKJ-NW,,,,,,,,,SJ40,,SJ40,
,SJ08,SKJ-W,ICCAT CICTA CICAA,,SJ80,SKJ-NW,,,,,,,,,SJ08,,SJ08,
,SJ05,SKJ-E,ICCAT CICTA CICAA,,SJ74p(>=10S),SKJ-SE,,,,,,,,,SJ05,,SJ05,
,SJ20,SKJ-E,ICCAT CICTA CICAA,,SJ70 (MD),SKJ-NE,,,,,,,,,SJ20,,SJ20,
,SJ04,SKJ-E,ICCAT CICTA CICAA,,SJ73[ext 10S],SKJ-CE,,,,,,,,,SJ04,,SJ04,
,SJ07,SKJ-W,ICCAT CICTA CICAA,,SJ84 + SJ78(>=20W),SKJ-SW,,,,,,,,,SJ07,,SJ07,
,SJ06,SKJ-E,ICCAT CICTA CICAA,,SK78(<20W) + SJ79(>=10S),SKJ-SE,,,,,,,,,SJ06,,SJ06,
,YF30,YFT-W,ICCAT CICTA CICAA,30,LLYF13+SBY26,,1,,,,,,,,YF30,,YF30,
,YF40,YFT-W,ICCAT CICTA CICAA,31,LLYF16+SBY25,,2,,,,,,,,YF40,,YF40,
,YF20,YFT-E,ICCAT CICTA CICAA,20,LLYF06 + SBY09 (MD),,3,,,,,,,,YF20,,YF20,
,YF12,YFT-W,ICCAT CICTA CICAA,12,LLYF12+SBY24,,4,,,,,,,,YF12,,YF12,
,YF13,YFT-W,ICCAT CICTA CICAA,13,LLYF10W+SBY21(>50N),,5,,,,,,,,YF13,,YF13,
,YF03,YFT-E,ICCAT CICTA CICAA,3,"LLYF14E(>10N,<35W) + SBY03 (<35W)",,6,,,,,,,,YF03,,YF03,
,YF04,YFT-E,ICCAT CICTA CICAA,4,"LLYF14Ep+SBY02(<30W,<10S)",,7,,,,,,,,YF04,,YF04,
,YF05,YFT-E,ICCAT CICTA CICAA,5,LLYF14E(>5E) + SBY01(<15S),,8,,,,,,,,YF05,,YF05,
,YF02,YFT-E,ICCAT CICTA CICAA,2,LLYF11E + SBY04(<50N),,9,,,,,,,,YF02,,YF02,
,YF10,YFT-W,ICCAT CICTA CICAA,10,LLYF15+SBY22,,10,,,,,,,,YF10,,YF10,
,YF09,YFT-W,ICCAT CICTA CICAA,9,LLYF18+SBY23(<40S),,11,,,,,,,,YF09,,YF09,
,YF06,YFT-E,ICCAT CICTA CICAA,6,LLYF17E+SBY05E(<40)+SBY01(>15S),,12,,,,,,,,YF06,,YF06,
,YF11,YFT-W,ICCAT CICTA CICAA,11,LLYF11W+SBY21(>15N),,13,,,,,,,,YF11,,YF11,
,YF07,YFT-E,ICCAT CICTA CICAA,7,YF19E+SBY01(<40S),,14,,,,,,,,YF07,,YF07,
,YF01,YFT-E,ICCAT CICTA CICAA,1,LLYF10E + SBY04(>50N),,15,,,,,,,,YF01,,YF01,
,YF08,YFT-W,ICCAT CICTA CICAA,8,LLYF19W+SBY23(>40S),,16,,,,,,,,YF08,,YF08,
,YF40,YFT-W,ICCAT CICTA CICAA,31,LLYF16+SBY25,,17,,,,,,,,YF40,,YF40,
,YF12,YFT-W,ICCAT CICTA CICAA,12,LLYF12+SBY24,,18,,,,,,,,YF12,,YF12,
,BF54,BFT-E,BF54,,,,,ICCAT CICTA CICAA,,,,,,,BF54,,BF54,
,BF53,BFT-E,BF53 + BF52E,,,,,ICCAT CICTA CICAA,,,,,,,BF53,,BF53,
,BF58,BFT-E,BF58,,,,,ICCAT CICTA CICAA,,,,,,,BF58,,BF58,
,BF57,BFT-E,BF57 + BF56E,,,,,ICCAT CICTA CICAA,,,,,,,BF57,,BF57,
,BF62,BFT-E,BF62 + BF67E,,,,,ICCAT CICTA CICAA,,,,,,,BF62,,BF62,
,BF65,BFT-E,BF65 + BF64E,,,,,ICCAT CICTA CICAA,,,,,,,BF65,,BF65,
,BF66,BFT-E,BF66E,,,,,ICCAT CICTA CICAA,,,,,,,BF66,,BF66,
,BF68,BFT-W,BF66W,,,,,ICCAT CICTA CICAA,,,,,,,BF68,,BF68,
,BF64,BFT-W,BF64W,,,,,ICCAT CICTA CICAA,,,,,,,BF64,,BF64,
,BF61,BFT-W,BF61,,,,,ICCAT CICTA CICAA,,,,,,,BF61,,BF61,
,BF67,BFT-W,BF67W,,,,,ICCAT CICTA CICAA,,,,,,,BF67,,BF67,
,BF55,BFT-W,BF55,,,,,ICCAT CICTA CICAA,,,,,,,BF55,,BF55,
,BF56,BFT-W,BF56W,,,,,ICCAT CICTA CICAA,,,,,,,BF56,,BF56,
,BF51,BFT-W,BF51p(<45N),,,,,ICCAT CICTA CICAA,,,,,,,BF51,,BF51,
,BF50,BFT-W,"NEW (BF51p + BF52p)
",,,,,ICCAT CICTA CICAA,,,,,,,BF50,,BF50,
,BF52,BFT-W,BF52W,,,,,ICCAT CICTA CICAA,,,,,,,BF52,,BF52,
,BF59,BFT-E,BF59 (MED),,,,,ICCAT CICTA CICAA,,,,,,,BF59,,BF59,
,BF60,BFT-W,BF60 (GOM),,,,,ICCAT CICTA CICAA,,,,,,,BF60,,BF60,
,BF63,BFT-W,BF63 (CARI),,,,,ICCAT CICTA CICAA,,,,,,,BF63,,BF63,
,BIL91,,,,,,,,BUM-A,WHM-A,SAI-W,SPF-W,SWO-N,AT-NW,BIL91,,BIL91,
,BIL92,,,,,,,,BUM-A,WHM-A,SAI-W,SPF-W,SWO-N,AT-NW,BIL92,,BIL92,
,BIL93,,,,,,,,BUM-A,WHM-A,SAI-W,SPF-W,SWO-N,AT-NW,BIL93,,BIL93,
,BIL95,,,,,,,,BUM-A,WHM-A,SAI-E,SPF-E,SWO-M,MD,BIL95,,BIL95,
,BIL96,,,,,,,,BUM-A,WHM-A,SAI-W,SPF-W,SWO-S,AT-SW,BIL96,,BIL96,
,BIL97,,,,,,,,BUM-A,WHM-A,SAI-E,SPF-E,SWO-S,AT-SE,BIL97,,BIL97,
,BIL94A,,,,,,,,BUM-A,WHM-A,SAI-W,SPF-W,SWO-N,AT-NW,BIL94A,,BIL94A,
,BIL94B,,,,,,,,BUM-A,WHM-A,SAI-E,SPF-E,SWO-N,AT-NE,BIL94B,,BIL94B,
,BIL94C,,,,,,,,BUM-A,WHM-A,SAI-E,SPF-E,SWO-N,AT-NE,BIL94C,,BIL94C,
