"gear_code","gear_group_code"
"BB","BB"
"BBM","BB"
"BBN","BB"
"BBOF","BB"
"BBPS","BB"
"BS","OTHER"
"CN","OTHER"
"DDSEI","OTHER"
"DGN","OTHER"
"DL","LINE"
"DSEI","OTHER"
"ELL","LL"
"ELLOB","LL"
"FLL","LL"
"FN","OTHER"
"G/L","GILL"
"GHLI","OTHER"
"GIHA","GILL"
"GIHT","GILL"
"GILL","GILL"
"GIOF","GILL"
"GL","GILL"
"HABBM","LINE"
"HABBN","LINE"
"HABBTR","LINE"
"HAND","HAND"
"HANP","HAND"
"HARP","OTHER"
"HATR","LINE"
"HLOF","HAND"
"HOOK","LINE"
"LG","LL"
"LIFT","OTHER"
"LIGB","OTHER"
"LL","LL"
"LLCO","HAND"
"LLEX","LL"
"LLF","LINE"
"LLHA","LL"
"LLOB","LL"
"LLTR","LL"
"OTHER","OTHER"
"PS","PS"
"PSFS","PS"
"PSLS","PS"
"PSOB","PS"
"PSP","PS"
"PSS","PSS"
"RIN","PSS"
"RINP","PSS"
"RNOF","PSS"
"RR","LINE"
"RRBB","BB"
"SBG","OTHER"
"SLL","LL"
"SPOR","TROL"
"SUPP","SUPP"
"TRAP","OTHER"
"TRAW","OTHER"
"TROL","TROL"
"TROLM","TROL"
"TROLN","TROL"
"TROT","LINE"
"TWLHT","OTHER"
"UNCL","OTHER"
